product_id,category,product_name,brand,price,rating,sales,tags,description,stock,profit_score
L001,laptop,联想 ThinkBook 14+ 2024,联想,5499,4.8,12500,"轻薄,编程,办公,续航,学生","14英寸2.8K高色域屏，R7-8845H，32GB内存，1TB SSD，续航12小时，适合留学生编程和上课",320,0.72
L002,laptop,华硕 无畏 Pro15 2024,华硕,5999,4.7,9800,"编程,轻度游戏,大屏,OLED","15.6英寸OLED大屏，RTX3050独显，R7-8845H，适合偶尔游戏和开发",210,0.68
L003,laptop,惠普 战66 七代,惠普,5299,4.9,15200,"轻薄,续航,商务,稳定","军工级 durability，Ultra5处理器，续航14小时，适合长时间图书馆学习",450,0.75
L004,laptop,小米 Redmi Book Pro 14,小米,4999,4.6,18600,"性价比,编程,学生","7840HS处理器，2.8K屏，同价位屏幕素质突出，预算友好",580,0.80
L005,laptop,联想 小新 Pro 14 2024,联想,5799,4.7,11200,"轻薄,编程,全能","32GB大内存，2.8K 120Hz屏，综合体验均衡",290,0.70
L006,laptop,机械革命 无界14X,机械革命,4499,4.5,8900,"性价比,编程,性能","同价位性能最强，24GB+1TB，适合预算有限的重度开发",180,0.85
L007,laptop,Apple MacBook Air M3,Apple,8999,4.9,22000,"轻薄,续航,生态,品牌","M3芯片，1.24kg极致轻薄，续航18小时，Apple生态用户首选",150,0.55
L008,laptop,华硕 天选4 锐龙版,华硕,6499,4.6,7600,"游戏,性能,编程","RTX4050独显，性能强劲，适合游戏但重量和续航一般",120,0.65
P001,phone,小米 14,小米,3999,4.8,45000,"性价比,拍照,性能","骁龙8 Gen3，徕卡影像，小屏旗舰手感，同价位综合体验优秀",800,0.78
P002,phone,华为 Mate 60,华为,5999,4.9,38000,"品牌,续航,商务,国产","鸿蒙系统，卫星通信，商务旗舰定位，品牌认可度高",420,0.60
P003,phone,iPhone 15,Apple,5999,4.8,52000,"品牌,生态,拍照,稳定","A16芯片，iOS生态，视频拍摄和系统流畅度行业领先",650,0.58
P004,phone,OPPO Find X7,OPPO,4299,4.7,28000,"拍照,快充,性价比","哈苏影像，100W快充，影像和充电体验突出",350,0.72
P005,phone,Redmi Note 13 Pro,Redmi,1699,4.6,92000,"低价,性价比,学生","千元档销量冠军，2亿像素主摄，学生党首选",1200,0.88
P006,phone,三星 Galaxy S24,三星,5499,4.7,15000,"品牌,屏幕,轻薄","顶级OLED屏幕，AI功能丰富，适合追求屏幕素质用户",200,0.62
H001,headphone,索尼 WH-1000XM5,索尼,2299,4.9,35000,"降噪,品牌,音质,通勤","行业顶级降噪，30小时续航，通勤和长途飞行首选",500,0.70
H002,headphone,Apple AirPods Pro 2,Apple,1899,4.8,68000,"降噪,生态,轻便,通勤","苹果生态无缝连接，空间音频，便携性极佳",900,0.65
H003,headphone,漫步者 W820NB,漫步者,399,4.5,42000,"低价,性价比,降噪,学生","百元档降噪耳机销量王，学生预算友好",1500,0.90
H004,headphone,Bose QC Ultra,Bose,3599,4.8,12000,"降噪,品牌,音质,舒适","Bose顶级降噪和佩戴舒适度，商务差旅用户",180,0.55
H005,headphone,华为 FreeBuds Pro 3,华为,1199,4.7,28000,"降噪,性价比,国产","智慧动态降噪，鸿蒙生态，千元档综合体验好",600,0.75
S001,skincare,兰蔻 小黑瓶精华 50ml,兰蔻,1080,4.8,85000,"抗老,品牌,高端,保湿","经典抗老精华，二裂酵母修护，适合25+初抗老需求",400,0.68
S002,skincare,雅诗兰黛 小棕瓶 50ml,雅诗兰黛,980,4.9,92000,"抗老,品牌,修复,夜间","夜间修护经典，适合熬夜肌和初老用户",380,0.70
S003,skincare,珀莱雅 双抗精华 30ml,珀莱雅,239,4.7,156000,"性价比,抗氧,国货,学生","国货之光，抗氧提亮，学生党平价抗老首选",2000,0.85
S004,skincare,薇诺娜 舒敏保湿特护霜 50g,薇诺娜,268,4.8,120000,"敏感肌,修复,国货,温和","敏感肌专研，医美术后可用，复购率极高",1800,0.82
S005,skincare,SK-II 神仙水 230ml,SK-II,1540,4.7,45000,"品牌,高端,提亮,经典","Pitera经典配方，油皮提亮口碑产品",250,0.60
S006,skincare,理肤泉 B5修复霜 40ml,理肤泉,98,4.8,98000,"低价,修复,敏感肌,学生","百元修复神器，刷酸后修复、晒后修复必备",2500,0.88
